Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-9933946,"Formation of the embryonic stem cell BAF (esBAF) complex",1,19,1,176,0.0011830635118306352,0.386042671885666,0.5370586068337619,2,5,3.2146071750032145E-4,9606,Homo sapiens,"ACTG1","P60709",VIM,Q12824,"R-HSA-9934026;R-HSA-9934024"
R-HSA-164938,"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",1,22,0,164,0.0013698630136986301,0.386042671885666,0.5370586068337619,4,15,9.643821525009644E-4,9606,Homo sapiens,"HLA-A","",,,"R-HSA-182243;R-HSA-182279;R-HSA-182263;R-HSA-182286"
R-HSA-450520,"HuR (ELAVL1) binds and stabilizes mRNA",0,12,2,168,7.471980074719801E-4,0.386042671885666,0.5370586068337619,1,7,4.5004500450045E-4,9606,Homo sapiens,"","",IL32;IL32,Q05655,"R-HSA-450533"
R-HSA-140875,"Common Pathway of Fibrin Clot Formation",0,25,2,162,0.001556662515566625,0.3893922943515765,0.5370586068337619,2,29,0.0018644721615018644,9606,Homo sapiens,"","",FN1;HLA-A,P07225;P05154,"R-HSA-5604929;R-HSA-5591086"
R-HSA-9694614,"Attachment and Entry",0,27,1,160,0.0016811955168119551,0.3927239132716416,0.5370586068337619,5,11,7.072135785007072E-4,9606,Homo sapiens,"","",VIM,Q9BYF1,"R-HSA-9694579;R-HSA-9694661;R-HSA-9699007;R-HSA-9694287;R-HSA-9698988"
R-HSA-445989,"TAK1-dependent IKK and NF-kappa-B activation  ",0,55,1,145,0.003424657534246575,0.3927239132716416,0.5370586068337619,2,17,0.001092966439501093,9606,Homo sapiens,"","",ACTG1,Q9Y6K9,"R-HSA-5609665;R-HSA-9757954"
R-HSA-9683610,"Maturation of nucleoprotein",0,17,1,170,0.0010585305105853052,0.3927239132716416,0.5370586068337619,1,9,5.786292915005787E-4,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-9687724"
R-HSA-1834941,"STING mediated induction of host immune responses",0,24,1,167,0.0014943960149439602,0.39603762395290576,0.5370586068337619,2,19,0.0012215507265012214,9606,Homo sapiens,"","",GAPDH,Q9UHD2,"R-HSA-1834939;R-HSA-3249378"
R-HSA-9762292,"Regulation of CDH11 function",0,13,1,177,8.094645080946451E-4,0.39603762395290576,0.5370586068337619,1,10,6.429214350006429E-4,9606,Homo sapiens,"","",GAPDH,P35222,"R-HSA-9762282"
R-HSA-3000178,"ECM proteoglycans",1,79,1,112,0.0049190535491905356,0.39603762395290576,0.5370586068337619,2,23,0.0014787193005014788,9606,Homo sapiens,"FN1","P02751",FN1,P07585,"R-HSA-2327909;R-HSA-2681681"
R-HSA-111997,"CaM pathway",0,43,1,146,0.0026774595267745954,0.39603762395290576,0.5370586068337619,2,24,0.001543011444001543,9606,Homo sapiens,"","",FN1,P52292,"R-HSA-9619127;R-HSA-112282"
R-HSA-9856532,"Mechanical load activates signaling by PIEZO1 and integrins in osteocytes",0,24,1,164,0.0014943960149439602,0.39933352120561294,0.5370586068337619,3,11,7.072135785007072E-4,9606,Homo sapiens,"","",VIM,P31749,"R-HSA-9906597;R-HSA-9857661;R-HSA-9857673"
R-HSA-975634,"Retinoid metabolism and transport",1,79,2,115,0.0049190535491905356,0.4009748192892397,0.5370586068337619,8,28,0.0018001800180018,9606,Homo sapiens,"APOE","P02649",FTH1;APOE,P02649;P02753;P01130,"R-HSA-2404135;R-HSA-2404131;R-HSA-2404140;R-HSA-2424254;R-HSA-2395768;R-HSA-2395784;R-HSA-2423785;R-HSA-2429643"
R-HSA-112409,"RAF-independent MAPK1/3 activation",0,28,1,172,0.0017434620174346202,0.40261169934574226,0.5370586068337619,2,12,7.715057220007715E-4,9606,Homo sapiens,"","",HLA-A,P36507,"R-HSA-109858;R-HSA-109864"
R-HSA-9670095,"Inhibition of DNA recombination at telomere",0,47,1,149,0.0029265255292652555,0.40424417308780014,0.5370586068337619,1,4,2.5716857400025716E-4,9606,Homo sapiens,"","",FTH1,Q9UER7,"R-HSA-9007926"
R-HSA-5467348,"Truncations of AMER1 destabilize the destruction complex",0,14,1,184,8.717310087173101E-4,0.4058722521975313,0.5370586068337619,1,1,6.429214350006429E-5,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-4839746"
R-HSA-168271,"Transport of Ribonucleoproteins into the Host Nucleus",0,48,1,152,0.0029887920298879204,0.40749594832654357,0.5370586068337619,2,4,2.5716857400025716E-4,9606,Homo sapiens,"","",CD74,Q14974,"R-HSA-168310;R-HSA-168317"
R-HSA-4839748,"Signaling by AMER1 mutants",0,15,1,184,9.339975093399751E-4,0.40749594832654357,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-4839746"
R-HSA-175474,"Assembly Of The HIV Virion",0,27,1,168,0.0016811955168119551,0.40749594832654357,0.5370586068337619,3,16,0.0010286742960010286,9606,Homo sapiens,"","",CTSD,P04578,"R-HSA-171291;R-HSA-174494;R-HSA-174493"
R-HSA-264642,"Acetylcholine Neurotransmitter Release Cycle",0,26,1,169,0.0016189290161892902,0.40749594832654357,0.5370586068337619,1,6,3.8575286100038574E-4,9606,Homo sapiens,"","",HMOX1,Q16623,"R-HSA-372505"
R-HSA-2172127,"DAP12 interactions",1,52,1,154,0.0032378580323785804,0.4091152730960268,0.5370586068337619,2,33,0.0021216407355021216,9606,Homo sapiens,"HLA-B","P01889",APOE,Q9NZC2,"R-HSA-210298;R-HSA-210300"
R-HSA-9682706,"Replication of the SARS-CoV-1 genome",0,17,1,178,0.0010585305105853052,0.4091152730960268,0.5370586068337619,1,21,0.0013501350135013501,9606,Homo sapiens,"","",FN1,P40337,"R-HSA-9683455"
R-HSA-9034015,"Signaling by NTRK3 (TRKC)",0,27,1,174,0.0016811955168119551,0.4123408548895824,0.5370586068337619,3,19,0.0012215507265012214,9606,Homo sapiens,"","",HLA-A,Q16288,"R-HSA-9034016;R-HSA-9603534;R-HSA-9603548"
R-HSA-1474244,"Extracellular matrix organization",4,351,3,935,0.021855541718555416,0.4137324801100135,0.5370586068337619,35,330,0.021216407355021217,9606,Homo sapiens,"FN1;CTSD;ACTG1","P07339;P63261;P60709;P02751",CD74;FN1;APOE,P02751;P07996;P16070;P08254;P08253;P09238;P07585,"R-HSA-8940554;R-HSA-1602458;R-HSA-3828025;R-HSA-2327909;R-HSA-1604368;R-HSA-2545196;R-HSA-1592278;R-HSA-2534248;R-HSA-1604360;R-HSA-1454791;R-HSA-1566981;R-HSA-2485111;R-HSA-2396337;R-HSA-2327733;R-HSA-2533950;R-HSA-2752115;R-HSA-349593;R-HSA-2533944;R-HSA-1604359;R-HSA-202723;R-HSA-2471621;R-HSA-9913335;R-HSA-2327746;R-HSA-2681675;R-HSA-1604731;R-HSA-3788061;R-HSA-349603;R-HSA-1604350;R-HSA-2537665;R-HSA-1592371;R-HSA-2731141;R-HSA-3785684;R-HSA-216050;R-HSA-2681681;R-HSA-9914537"
R-HSA-390247,"Beta-oxidation of very long chain fatty acids",0,44,1,152,0.0027397260273972603,0.4139471350046501,0.5370586068337619,2,13,8.357978655008358E-4,9606,Homo sapiens,"","",ACTG1,Q08426,"R-HSA-6809264;R-HSA-6809263"
R-HSA-390466,"Chaperonin-mediated protein folding",1,96,1,113,0.005977584059775841,0.41554908994234363,0.5370586068337619,4,19,0.0012215507265012214,9606,Homo sapiens,"ACTG1","P60709",ACTG1,P60709,"R-HSA-390453;R-HSA-389970;R-HSA-389980;R-HSA-390459"
R-HSA-2408522,"Selenoamino acid metabolism",1,182,0,15,0.01133250311332503,0.41554908994234363,0.5370586068337619,2,33,0.0021216407355021216,9606,Homo sapiens,"RPL41","",,,"R-HSA-2408529;R-HSA-5333615"
R-HSA-6783589,"Interleukin-6 family signaling",0,30,1,177,0.0018679950186799503,0.41554908994234363,0.5370586068337619,2,34,0.002185932879002186,9606,Homo sapiens,"","",APOE,P26441;Q9UBD9,"R-HSA-6783670;R-HSA-5696491"
R-HSA-9694686,"Replication of the SARS-CoV-2 genome",0,22,1,176,0.0013698630136986301,0.41554908994234363,0.5370586068337619,1,22,0.0014144271570014145,9606,Homo sapiens,"","",FN1,P40337,"R-HSA-9694520"
R-HSA-1483206,"Glycerophospholipid biosynthesis",2,222,0,306,0.013823163138231632,0.4157044841298887,0.5370586068337619,1,134,0.008615147229008616,9606,Homo sapiens,"PLD3","",,,"R-HSA-1483142"
R-HSA-9694682,"SARS-CoV-2 Genome Replication and Transcription",0,24,1,176,0.0014943960149439602,0.4187400701367646,0.5370586068337619,1,28,0.0018001800180018,9606,Homo sapiens,"","",FN1,P40337,"R-HSA-9694520"
R-HSA-5578775,"Ion homeostasis",0,64,1,137,0.00398505603985056,0.42032911824424724,0.5370586068337619,2,17,0.001092966439501093,9606,Homo sapiens,"","",GAPDH,P17612,"R-HSA-5617182;R-HSA-5617179"
R-HSA-8979227,"Triglyceride metabolism",0,66,1,136,0.00410958904109589,0.42032911824424724,0.5370586068337619,1,24,0.001543011444001543,9606,Homo sapiens,"","",VIM,P15090,"R-HSA-163549"
R-HSA-5610783,"Degradation of GLI2 by the proteasome",0,49,1,154,0.0030510585305105853,0.42191388687604625,0.5370586068337619,1,5,3.2146071750032145E-4,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-5610730"
R-HSA-9024446,"NR1H2 and NR1H3-mediated signaling",2,85,1,458,0.005292652552926526,0.4232365862293641,0.5370586068337619,3,60,0.0038575286100038576,9606,Homo sapiens,"APOE","ENSG00000130203;P02649",APOE,P02655;P02649,"R-HSA-9031512;R-HSA-9031522;R-HSA-9031527"
R-HSA-9683686,"Maturation of spike protein",0,13,1,191,8.094645080946451E-4,0.4234943873830814,0.5370586068337619,5,8,5.143371480005143E-4,9606,Homo sapiens,"","",VIM,P59594,"R-HSA-9683719;R-HSA-9683653;R-HSA-9683755;R-HSA-9683663;R-HSA-9683772"
R-HSA-2032785,"YAP1- and WWTR1 (TAZ)-stimulated gene expression",0,18,1,191,0.00112079701120797,0.4234943873830814,0.5370586068337619,1,9,5.786292915005787E-4,9606,Homo sapiens,"","",FN1,P29279,"R-HSA-1989766"
R-HSA-8866376,"Reelin signalling pathway",0,7,2,197,4.3586550435865506E-4,0.42507063108662757,0.5370586068337619,1,4,2.5716857400025716E-4,9606,Homo sapiens,"","",GAPDH;FN1,P06241,"R-HSA-8855237"
R-HSA-181429,"Serotonin Neurotransmitter Release Cycle",0,23,1,183,0.001432129514321295,0.42507063108662757,0.5370586068337619,1,4,2.5716857400025716E-4,9606,Homo sapiens,"","",HMOX1,Q16623,"R-HSA-380905"
R-HSA-3000170,"Syndecan interactions",1,29,1,183,0.0018057285180572852,0.42507063108662757,0.5370586068337619,2,15,9.643821525009644E-4,9606,Homo sapiens,"FN1","P02751",FN1,P07996,"R-HSA-2681675;R-HSA-2731141"
R-HSA-5610785,"GLI3 is processed to GLI3R by the proteasome",0,49,1,158,0.0030510585305105853,0.42664262927840313,0.5370586068337619,1,5,3.2146071750032145E-4,9606,Homo sapiens,"","",GAPDH,P49841,"R-HSA-5610732"
R-HSA-9754189,"Germ layer formation at gastrulation",0,24,1,185,0.0014943960149439602,0.4282103932206206,0.5370586068337619,4,11,7.072135785007072E-4,9606,Homo sapiens,"","",GAPDH,P35222,"R-HSA-9756948;R-HSA-9756724;R-HSA-9754480;R-HSA-9754191"
R-HSA-5693616,"Presynaptic phase of homologous DNA pairing and strand exchange",0,42,1,177,0.00261519302615193,0.42977393414607956,0.5370586068337619,2,7,4.5004500450045E-4,9606,Homo sapiens,"","",HLA-DRB5,O14757,"R-HSA-5685230;R-HSA-5685242"
R-HSA-5260271,"Diseases of Immune System",0,47,1,172,0.0029265255292652555,0.42977393414607956,0.5370586068337619,1,14,9.000900090009E-4,9606,Homo sapiens,"","",ACTG1,Q9Y6K9,"R-HSA-5228840"
R-HSA-5602358,"Diseases associated with the TLR signaling cascade",0,47,1,172,0.0029265255292652555,0.42977393414607956,0.5370586068337619,1,14,9.000900090009E-4,9606,Homo sapiens,"","",ACTG1,Q9Y6K9,"R-HSA-5228840"
R-HSA-983189,"Kinesins",0,68,1,145,0.004234122042341221,0.43288839173128324,0.5370586068337619,1,14,9.000900090009E-4,9606,Homo sapiens,"","",VIM,Q9HAQ2,"R-HSA-984775"
R-HSA-181430,"Norepinephrine Neurotransmitter Release Cycle",0,30,1,183,0.0018679950186799503,0.4359860913109398,0.5370586068337619,1,6,3.8575286100038574E-4,9606,Homo sapiens,"","",HMOX1,Q16623,"R-HSA-374922"
R-HSA-74752,"Signaling by Insulin receptor",1,102,0,124,0.006351183063511831,0.43752868462028005,0.5370586068337619,1,34,0.002185932879002186,9606,Homo sapiens,"CTSD","",,,"R-HSA-74730"
R-HSA-69481,"G2/M Checkpoints",0,142,1,89,0.00884184308841843,0.4390671216961194,0.5370586068337619,5,24,0.001543011444001543,9606,Homo sapiens,"","",HLA-DRB5,O14757,"R-HSA-75010;R-HSA-69604;R-HSA-75028;R-HSA-176116;R-HSA-6799246"
R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",0,23,1,191,0.001432129514321295,0.44060141356743976,0.5370586068337619,1,22,0.0014144271570014145,9606,Homo sapiens,"","",FN1,P49023,"R-HSA-9926526"
R-HSA-5689603,"UCH proteinases",1,84,0,184,0.00523038605230386,0.44213157123441826,0.5370586068337619,1,11,7.072135785007072E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-5689544"
R-HSA-9679514,"SARS-CoV-1 Genome Replication and Transcription",0,18,1,200,0.00112079701120797,0.4436576056684758,0.5370586068337619,1,26,0.0016715957310016716,9606,Homo sapiens,"","",FN1,P40337,"R-HSA-9683455"
R-HSA-9615710,"Late endosomal microautophagy",1,35,0,183,0.0021793275217932753,0.44517952781236436,0.5370586068337619,3,3,1.9287643050019287E-4,9606,Homo sapiens,"VIM","",,,"R-HSA-9631065;R-HSA-9615721;R-HSA-9631068"
R-HSA-9648895,"Response of EIF2AK1 (HRI) to heme deficiency",0,29,1,198,0.0018057285180572852,0.45122631134209523,0.5370586068337619,8,20,0.0012858428700012858,9606,Homo sapiens,"","",APOE,P18848,"R-HSA-9654752;R-HSA-9635927;R-HSA-9653893;R-HSA-9635915;R-HSA-9654792;R-HSA-9653742;R-HSA-9655086;R-HSA-381128"
R-HSA-5693579,"Homologous DNA Pairing and Strand Exchange",0,45,1,192,0.002801992528019925,0.45422531178278447,0.5370586068337619,2,10,6.429214350006429E-4,9606,Homo sapiens,"","",HLA-DRB5,O14757,"R-HSA-5685230;R-HSA-5685242"
R-HSA-212676,"Dopamine Neurotransmitter Release Cycle",0,28,1,205,0.0017434620174346202,0.45869356550793583,0.5370586068337619,1,5,3.2146071750032145E-4,9606,Homo sapiens,"","",HMOX1,Q16623,"R-HSA-380574"
R-HSA-71403,"Citric acid cycle (TCA cycle)",0,83,1,151,0.005168119551681195,0.45869356550793583,0.5370586068337619,2,23,0.0014787193005014788,9606,Homo sapiens,"","",HLA-B,P31040,"R-HSA-9854672;R-HSA-9854961"
R-HSA-373753,"Nephrin family interactions",0,25,4,209,0.001556662515566625,0.46017496034697347,0.5370586068337619,3,13,8.357978655008358E-4,9606,Homo sapiens,"","",ARPC1B;GAPDH;ACTG1;FN1,P06241;O00401;P46940,"R-HSA-532603;R-HSA-8981534;R-HSA-451377"
R-HSA-351906,"Apoptotic cleavage of cell adhesion  proteins",0,11,1,219,6.849315068493151E-4,0.46017496034697347,0.5370586068337619,1,10,6.429214350006429E-4,9606,Homo sapiens,"","",GAPDH,P35222,"R-HSA-202969"
R-HSA-69205,"G1/S-Specific Transcription",0,43,2,191,0.0026774595267745954,0.46165236139494437,0.5370586068337619,2,28,0.0018001800180018,9606,Homo sapiens,"","",GAPDH;CRIP1,P04183;P12004,"R-HSA-8961665;R-HSA-8962039"
R-HSA-6783310,"Fanconi Anemia Pathway",0,53,1,189,0.0033001245330012453,0.46165236139494437,0.5370586068337619,1,15,9.643821525009644E-4,9606,Homo sapiens,"","",VIM,O15287,"R-HSA-6785126"
R-HSA-8963899,"Plasma lipoprotein remodeling",1,56,2,183,0.0034869240348692405,0.46606070769809826,0.5370586068337619,5,31,0.001993056448501993,9606,Homo sapiens,"APOE","P02649",FN1;APOE,P02649;P02655;P08519,"R-HSA-174690;R-HSA-174739;R-HSA-174757;R-HSA-266303;R-HSA-176879"
R-HSA-391251,"Protein folding",1,102,1,147,0.006351183063511831,0.46606070769809826,0.5370586068337619,4,28,0.0018001800180018,9606,Homo sapiens,"ACTG1","P60709",ACTG1,P60709,"R-HSA-390453;R-HSA-389970;R-HSA-389980;R-HSA-390459"
R-HSA-9604323,"Negative regulation of NOTCH4 signaling",0,47,1,189,0.0029265255292652555,0.4718832298678496,0.5370586068337619,1,6,3.8575286100038574E-4,9606,Homo sapiens,"","",VIM,P31749,"R-HSA-9604328"
R-HSA-210500,"Glutamate Neurotransmitter Release Cycle",0,32,1,205,0.00199252801992528,0.4718832298678496,0.5370586068337619,1,8,5.143371480005143E-4,9606,Homo sapiens,"","",HMOX1,Q16623,"R-HSA-210426"
