Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-877300,"Interferon gamma signaling",10,177,3,462,0.011021170610211706,7.2035996385722E-6,0.005856526506159199,2,23,0.0014787193005014788,9606,Homo sapiens,"HLA-DRB5;HLA-B;HLA-A;HLA-DQA1;HLA-DQB1","ENSG00000206503;P04439;ENSG00000179344;P01889;ENSG00000234745;P01920;ENSG00000198502;P01909;ENSG00000196735;Q30154",HLA-A;APOE;HLA-B,P61769;P02795,"R-HSA-1031716;R-HSA-1031713"
R-HSA-202430,"Translocation of ZAP-70 to Immunological synapse",3,30,0,14,0.0018679950186799503,1.888487264422034E-4,0.06104865833694961,4,4,2.5716857400025716E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-8855381;R-HSA-202168;R-HSA-202344;R-HSA-202174"
R-HSA-6802948,"Signaling by high-kinase activity BRAF mutants",3,44,0,0,0.0027397260273972603,2.494173705622771E-4,0.06104865833694961,4,6,3.8575286100038574E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802912;R-HSA-6802911;R-HSA-6802910;R-HSA-6803227"
R-HSA-9656223,"Signaling by RAF1 mutants",3,49,0,0,0.0030510585305105853,3.4115523926769864E-4,0.06104865833694961,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214"
R-HSA-5674135,"MAP2K and MAPK activation",3,49,0,2,0.0030510585305105853,3.8317131149712136E-4,0.06104865833694961,8,12,7.715057220007715E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-9657603;R-HSA-5672980;R-HSA-5672978;R-HSA-9657606;R-HSA-5672972;R-HSA-9657608;R-HSA-5672973;R-HSA-9657599"
R-HSA-389948,"Co-inhibition by PD-1",3,33,0,24,0.002054794520547945,4.5221228397740454E-4,0.06104865833694961,1,5,3.2146071750032145E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-389758"
R-HSA-1236977,"Endosomal/Vacuolar pathway",2,15,0,0,9.339975093399751E-4,7.959166125287576E-4,0.06676833774923341,3,4,2.5716857400025716E-4,9606,Homo sapiens,"HLA-B;HLA-A","",,,"R-HSA-1236964;R-HSA-1236954;R-HSA-1236943"
R-HSA-202427,"Phosphorylation of CD3 and TCR zeta chains",3,33,0,40,0.002054794520547945,9.164589892810548E-4,0.06676833774923341,5,7,4.5004500450045E-4,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-202291;R-HSA-202214;R-HSA-202165;R-HSA-202233;R-HSA-8852200"
R-HSA-6802952,"Signaling by BRAF and RAF1 fusions",3,73,0,0,0.004545454545454545,0.0010769086733747324,0.06676833774923341,4,5,3.2146071750032145E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932"
R-HSA-9649948,"Signaling downstream of RAS mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802922"
R-HSA-6802946,"Signaling by moderate kinase activity BRAF mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802919;R-HSA-6802914;R-HSA-6803230;R-HSA-6802921"
R-HSA-6802955,"Paradoxical activation of RAF signaling by kinase inactive BRAF",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,7,4.5004500450045E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6802918;R-HSA-6803234;R-HSA-6802943;R-HSA-6802942"
R-HSA-6802949,"Signaling by RAS mutants",3,54,0,19,0.0033623910336239102,0.0010769086733747324,0.06676833774923341,4,9,5.786292915005787E-4,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-6803233;R-HSA-6802926;R-HSA-6802925;R-HSA-6802922"
R-HSA-9734767,"Developmental Cell Lineages",5,249,0,45,0.015504358655043586,0.0012194027835851218,0.06772081099356231,4,17,0.001092966439501093,9606,Homo sapiens,"CD74;FN1;VIM","",,,"R-HSA-9925879;R-HSA-9925892;R-HSA-9910607;R-HSA-9853402"
R-HSA-9925563,"Developmental Lineage of Pancreatic Ductal Cells",3,77,0,0,0.004794520547945206,0.001254089092473376,0.06772081099356231,2,2,1.2858428700012858E-4,9606,Homo sapiens,"CD74;FN1","",,,"R-HSA-9910607;R-HSA-9853402"
R-HSA-196025,"Formation of annular gap junctions",2,11,0,10,6.849315068493151E-4,0.0015437002072534733,0.07718501036267367,2,2,1.2858428700012858E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-196017;R-HSA-196026"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",6,211,0,276,0.013138231631382316,0.001823214608853596,0.08569108661611902,3,47,0.0030217307445030215,9606,Homo sapiens,"FN1;HMOX1;VIM","",,,"R-HSA-6785895;R-HSA-6797268;R-HSA-6790041"
R-HSA-5663213,"RHO GTPases Activate WASPs and WAVEs",3,41,0,70,0.002552926525529265,0.0024122482921231647,0.10855117314554241,4,10,6.429214350006429E-4,9606,Homo sapiens,"ARPC1B;ACTG1","",,,"R-HSA-2029466;R-HSA-442592;R-HSA-2197690;R-HSA-2029473"
R-HSA-2132295,"MHC class II antigen presentation",5,137,1,229,0.008530510585305106,0.003052486377477792,0.12820442785406727,25,26,0.0016715957310016716,9606,Homo sapiens,"CD74;HLA-DRB5;CTSD;HLA-DQA1;HLA-DQB1","P07339;P01920;P01909;P04233;Q30154",HLA-DQA1,P04233,"R-HSA-2130336;R-HSA-8951498;R-HSA-8951500;R-HSA-2130725;R-HSA-2130731;R-HSA-2130349;R-HSA-2130478;R-HSA-2213235;R-HSA-2213236;R-HSA-2130486;R-HSA-2213239;R-HSA-2213241;R-HSA-2213243;R-HSA-8856157;R-HSA-2130619;R-HSA-2213244;R-HSA-2213246;R-HSA-2213248;R-HSA-2130500;R-HSA-2130504;R-HSA-2130378;R-HSA-2130640;R-HSA-2130641;R-HSA-2130706;R-HSA-2130393"
R-HSA-6802957,"Oncogenic MAPK signaling",3,93,0,19,0.005790784557907846,0.0036076300014434848,0.14185030521393616,24,46,0.0029574386010029576,9606,Homo sapiens,"FN1;ACTG1","",,,"R-HSA-9656211;R-HSA-6802919;R-HSA-6802918;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-6802914;R-HSA-6803234;R-HSA-6803233;R-HSA-6802912;R-HSA-6802926;R-HSA-6802925;R-HSA-6802922;R-HSA-6802921;R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802943;R-HSA-6802911;R-HSA-6802942;R-HSA-6802910;R-HSA-6803230;R-HSA-6803227"
R-HSA-445095,"Interaction between L1 and Ankyrins",2,33,0,0,0.002054794520547945,0.0037329027687877936,0.14185030521393616,2,4,2.5716857400025716E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-392751;R-HSA-373739"
R-HSA-190873,"Gap junction degradation",2,12,0,30,7.471980074719801E-4,0.005417974517563207,0.19504708263227544,4,4,2.5716857400025716E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-196017;R-HSA-190519;R-HSA-196026;R-HSA-190829"
R-HSA-168256,"Immune System",32,2664,21,6396,0.16587795765877958,0.006647178719387026,0.23058572160508184,156,1733,0.11141828468561142,9606,Homo sapiens,"IL32;CFD;CD74;HLA-DRB5;ARPC1B;HLA-B;FN1;HLA-A;PLD3;ACTG1;FTH1;CCL5;PCBP2;HMOX1;VIM;CD68;CTSD;CD99;HLA-DQA1;HLA-DQB1;C1QC","P24001;P04439;ENSG00000179344;O15143;P13501;ENSG00000026025;ENSG00000115414;ENSG00000198502;Q8IV08;P63261;P02747;P00746;ENSG00000234745;Q96BZ4;Q15366;P07339;ENSG00000100292;P60709;P14209;P34810;P01909;ENSG00000196735;P08670;ENSG00000206503;P01889;P01920;ENSG00000271503;P09601;P04233;P02751;Q30154;P02794",CCL5;IL32;PLD3;ARPC1B;HLA-A;FTH1;GAPDH;CD74;IL32;ACTG1;VIM;VIM;IL32;FN1;APOE;HLA-A;HLA-B;HLA-B;HMOX1;FN1;HLA-DQA1,P08603;P00441;Q6ISS4;Q9NZC2;Q14974;O15533;P06241;Q53EL6;P24158;Q8TBC4;Q04206;P17612;P19838;P42768;P23528;Q05655;Q9BQ95;P02748;P37840;P35222;P26441;P02795;P61769;Q16623;P10636-8;P07225;P04233;P63104;Q9Y6K9;Q9HC29;P43629;P10599;Q9P296;Q9UBD9;Q9UHD2;O60437,"R-HSA-6785895;R-HSA-199169;R-HSA-8862084;R-HSA-2130725;R-HSA-9836435;R-HSA-202245;R-HSA-2130731;R-HSA-202248;R-HSA-2130478;R-HSA-9676160;R-HSA-2130486;R-HSA-9605259;R-HSA-913451;R-HSA-198955;R-HSA-1031716;R-HSA-8863914;R-HSA-1031713;R-HSA-202291;R-HSA-990526;R-HSA-2130706;R-HSA-5696357;R-HSA-9823910;R-HSA-451634;R-HSA-8938431;R-HSA-173626;R-HSA-173631;R-HSA-202307;R-HSA-8951498;R-HSA-8951499;R-HSA-8951500;R-HSA-622415;R-HSA-399950;R-HSA-448591;R-HSA-8950721;R-HSA-9680348;R-HSA-990528;R-HSA-183122;R-HSA-2213235;R-HSA-2213236;R-HSA-6800434;R-HSA-2213239;R-HSA-1006169;R-HSA-2213241;R-HSA-2213243;R-HSA-2530429;R-HSA-449117;R-HSA-2213244;R-HSA-2213246;R-HSA-8863973;R-HSA-430180;R-HSA-5660980;R-HSA-166753;R-HSA-983148;R-HSA-5607734;R-HSA-2130500;R-HSA-983146;R-HSA-983145;R-HSA-2130504;R-HSA-983142;R-HSA-976743;R-HSA-202344;R-HSA-983138;R-HSA-8852200;R-HSA-6801687;R-HSA-983422;R-HSA-983421;R-HSA-913529;R-HSA-983161;R-HSA-912757;R-HSA-5607725;R-HSA-210298;R-HSA-389758;R-HSA-8950771;R-HSA-210300;R-HSA-2130336;R-HSA-199043;R-HSA-2029471;R-HSA-2029466;R-HSA-8852481;R-HSA-166792;R-HSA-983427;R-HSA-3134883;R-HSA-2130349;R-HSA-983426;R-HSA-199566;R-HSA-983425;R-HSA-976768;R-HSA-983424;R-HSA-9709831;R-HSA-909721;R-HSA-5609665;R-HSA-9757954;R-HSA-3134904;R-HSA-1015702;R-HSA-3134901;R-HSA-2130619;R-HSA-199576;R-HSA-2197690;R-HSA-1015699;R-HSA-173725;R-HSA-1834939;R-HSA-2213248;R-HSA-8951595;R-HSA-9008684;R-HSA-2530445;R-HSA-1606324;R-HSA-8852266;R-HSA-981665;R-HSA-173745;R-HSA-6797268;R-HSA-202165;R-HSA-2029476;R-HSA-202168;R-HSA-202174;R-HSA-8950581;R-HSA-5696491;R-HSA-2029473;R-HSA-964811;R-HSA-1861595;R-HSA-6784160;R-HSA-1236954;R-HSA-1250264;R-HSA-6783670;R-HSA-8855381;R-HSA-3249378;R-HSA-166869;R-HSA-8856157;R-HSA-1236943;R-HSA-168412;R-HSA-1250253;R-HSA-9836404;R-HSA-202214;R-HSA-442592;R-HSA-9710963;R-HSA-2130378;R-HSA-202216;R-HSA-3134914;R-HSA-389354;R-HSA-2130640;R-HSA-6798743;R-HSA-2130641;R-HSA-9828196;R-HSA-9021306;R-HSA-1250272;R-HSA-6798739;R-HSA-8863858;R-HSA-1236964;R-HSA-1236965;R-HSA-2130393;R-HSA-1236971;R-HSA-202233;R-HSA-6798749;R-HSA-1250280;R-HSA-6798748;R-HSA-6790041;R-HSA-6798745"
R-HSA-9035034,"RHOF GTPase cycle",2,46,0,0,0.00286425902864259,0.0070907793438771405,0.23058572160508184,1,3,1.9287643050019287E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9693125"
R-HSA-9927432,"Developmental Lineage of Mammary Gland Myoepithelial Cells",2,35,0,13,0.0021793275217932753,0.00738955177267786,0.23058572160508184,2,2,1.2858428700012858E-4,9606,Homo sapiens,"VIM","",,,"R-HSA-9925879;R-HSA-9925892"
R-HSA-2029480,"Fcgamma receptor (FCGR) dependent phagocytosis",5,193,1,281,0.012017434620174346,0.007438249084034898,0.23058572160508184,8,42,0.0027002700270027003,9606,Homo sapiens,"ARPC1B;PLD3;ACTG1","P63261;P60709;O15143;Q96BZ4;Q8IV08",ACTG1,P23528,"R-HSA-2029471;R-HSA-2029466;R-HSA-442592;R-HSA-1861595;R-HSA-399950;R-HSA-2029476;R-HSA-2197690;R-HSA-2029473"
R-HSA-3000480,"Scavenging by Class A Receptors",2,49,0,0,0.0030510585305105853,0.008003927210071482,0.24011781630214446,4,10,6.429214350006429E-4,9606,Homo sapiens,"FTH1;APOE","",,,"R-HSA-2187266;R-HSA-2173778;R-HSA-2507854;R-HSA-2299677"
R-HSA-9707587,"Regulation of HMOX1 expression and activity",2,6,0,45,3.7359900373599005E-4,0.008640532447176663,0.24193490852094657,4,4,2.5716857400025716E-4,9606,Homo sapiens,"HMOX1","",,,"R-HSA-9707645;R-HSA-9708558;R-HSA-9708536;R-HSA-9708457"
R-HSA-5626467,"RHO GTPases activate IQGAPs",2,36,0,16,0.00224159402241594,0.008640532447176663,0.24193490852094657,1,5,3.2146071750032145E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-5626507"
R-HSA-6798695,"Neutrophil degranulation",5,478,0,0,0.029763387297633875,0.009757041989292836,0.2634401337109066,6,10,6.429214350006429E-4,9606,Homo sapiens,"CFD;FTH1;HLA-B;CD68;CTSD","",,,"R-HSA-6798743;R-HSA-6798739;R-HSA-6800434;R-HSA-6798749;R-HSA-6798748;R-HSA-6798745"
R-HSA-9706574,"RHOBTB GTPase Cycle",2,36,0,22,0.00224159402241594,0.010327655974632477,0.2685190553404444,2,4,2.5716857400025716E-4,9606,Homo sapiens,"VIM;ACTG1","",,,"R-HSA-9018778;R-HSA-9018787"
R-HSA-9924644,"Developmental Lineages of the Mammary Gland",2,44,0,20,0.0027397260273972603,0.012913050120880731,0.3228262530220183,2,3,1.9287643050019287E-4,9606,Homo sapiens,"VIM","",,,"R-HSA-9925879;R-HSA-9925892"
R-HSA-9820448,"Developmental Cell Lineages of the Exocrine Pancreas",3,170,0,21,0.010585305105853052,0.015380373758057009,0.3691289701933682,2,10,6.429214350006429E-4,9606,Homo sapiens,"CD74;FN1","",,,"R-HSA-9910607;R-HSA-9853402"
R-HSA-9913351,"Formation of the dystrophin-glycoprotein complex (DGC)",2,37,0,39,0.002303860523038605,0.017479621305437343,0.4020312900250589,2,11,7.072135785007072E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9913335;R-HSA-9914537"
R-HSA-9662361,"Sensory processing of sound by outer hair cells of the cochlea",2,64,0,13,0.00398505603985056,0.018827611514046327,0.43303506482306553,1,8,5.143371480005143E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9663363"
R-HSA-9012999,"RHO GTPase cycle",5,460,0,135,0.028642590286425903,0.020133679676164307,0.44294095287561475,4,91,0.0058505850585058505,9606,Homo sapiens,"IL32;VIM;ACTG1","",,,"R-HSA-9018808;R-HSA-9018778;R-HSA-9693125;R-HSA-9018787"
R-HSA-167826,"The fatty acid cycling model",1,8,0,0,4.9813200498132E-4,0.021492467204927923,0.4513418113034864,3,6,3.8575286100038574E-4,9606,Homo sapiens,"UCP2","",,,"R-HSA-166387;R-HSA-166214;R-HSA-166220"
R-HSA-9636249,"Inhibition of nitric oxide production",0,5,1,3,3.1133250311332503E-4,0.021492467204927923,0.4513418113034864,1,5,3.2146071750032145E-4,9606,Homo sapiens,"","",GAPDH,P35228,"R-HSA-9636261"
R-HSA-202433,"Generation of second messenger molecules",3,47,1,196,0.0029265255292652555,0.025215018841622916,0.4714203058670805,4,17,0.001092966439501093,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","P01920;P01909;Q30154",ARPC1B,P42768,"R-HSA-430180;R-HSA-202245;R-HSA-202248;R-HSA-202216"
R-HSA-9664417,"Leishmania phagocytosis",3,157,0,92,0.009775840597758406,0.025777630559431164,0.4714203058670805,6,27,0.001735887874501736,9606,Homo sapiens,"ARPC1B;ACTG1","",,,"R-HSA-2029466;R-HSA-442592;R-HSA-1861595;R-HSA-9666458;R-HSA-2197690;R-HSA-2029473"
R-HSA-9664407,"Parasite infection",3,157,0,92,0.009775840597758406,0.025777630559431164,0.4714203058670805,6,27,0.001735887874501736,9606,Homo sapiens,"ARPC1B;ACTG1","",,,"R-HSA-2029466;R-HSA-442592;R-HSA-1861595;R-HSA-9666458;R-HSA-2197690;R-HSA-2029473"
R-HSA-9664422,"FCGR3A-mediated phagocytosis",3,157,0,92,0.009775840597758406,0.025777630559431164,0.4714203058670805,6,27,0.001735887874501736,9606,Homo sapiens,"ARPC1B;ACTG1","",,,"R-HSA-2029466;R-HSA-442592;R-HSA-1861595;R-HSA-9666458;R-HSA-2197690;R-HSA-2029473"
R-HSA-1483148,"Synthesis of PG",2,21,0,71,0.001307596513075965,0.026190016992615583,0.4714203058670805,1,5,3.2146071750032145E-4,9606,Homo sapiens,"PLD3","",,,"R-HSA-1483142"
R-HSA-3928662,"EPHB-mediated forward signaling",3,52,2,200,0.0032378580323785804,0.027799922650143305,0.5003986077025795,3,26,0.0016715957310016716,9606,Homo sapiens,"ARPC1B;ACTG1","P63261;P60709;O15143",ACTG1;ARPC1B,O00401;P23528,"R-HSA-3928600;R-HSA-3928595;R-HSA-3928608"
R-HSA-202424,"Downstream TCR signaling",3,99,0,175,0.0061643835616438354,0.030832018816901563,0.5355394960878113,1,24,0.001543011444001543,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","",,,"R-HSA-202307"
R-HSA-114608,"Platelet degranulation ",3,142,1,112,0.00884184308841843,0.03177437659253024,0.5355394960878113,3,11,7.072135785007072E-4,9606,Homo sapiens,"CFD;FN1;TAGLN2","P00746;P37802;P02751",VIM,P11021,"R-HSA-482772;R-HSA-481007;R-HSA-351323"
R-HSA-9700645,"ALK mutants bind TKIs",1,12,0,0,7.471980074719801E-4,0.032067410873467206,0.5355394960878113,1,1,6.429214350006429E-5,9606,Homo sapiens,"FN1","",,,"R-HSA-9700131"
R-HSA-3928665,"EPH-ephrin mediated repulsion of cells",2,55,0,52,0.003424657534246575,0.033939014532411105,0.5355394960878113,1,9,5.786292915005787E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-3928654"
R-HSA-8964041,"LDL remodeling",0,10,1,3,6.226650062266501E-4,0.03469350699194862,0.5355394960878113,1,3,1.9287643050019287E-4,9606,Homo sapiens,"","",FN1,P08519,"R-HSA-176879"
R-HSA-166665,"Terminal pathway of complement",0,8,1,6,4.9813200498132E-4,0.03469350699194862,0.5355394960878113,1,5,3.2146071750032145E-4,9606,Homo sapiens,"","",APOE,P02748,"R-HSA-173725"
R-HSA-8957275,"Post-translational protein phosphorylation",2,109,0,0,0.006787048567870485,0.03570263307252075,0.5355394960878113,1,1,6.429214350006429E-5,9606,Homo sapiens,"FN1;APOE","",,,"R-HSA-8952289"
R-HSA-389397,"Orexin and neuropeptides FF and QRFP bind to their respective receptors",0,8,1,6,4.9813200498132E-4,0.037312584310762675,0.5370586068337619,2,4,2.5716857400025716E-4,9606,Homo sapiens,"","",HLA-DQA1,O43612,"R-HSA-389487;R-HSA-389481"
R-HSA-9734779,"Developmental Cell Lineages of the Integumentary System",2,85,0,33,0.005292652552926526,0.04057436397176262,0.5370586068337619,2,7,4.5004500450045E-4,9606,Homo sapiens,"VIM","",,,"R-HSA-9925879;R-HSA-9925892"
R-HSA-9818026,"NFE2L2 regulating inflammation associated genes",0,7,1,11,4.3586550435865506E-4,0.04512788798738043,0.5370586068337619,1,3,1.9287643050019287E-4,9606,Homo sapiens,"","",CCL5,P13500,"R-HSA-9796070"
R-HSA-3000497,"Scavenging by Class H Receptors",0,15,1,2,9.339975093399751E-4,0.04512788798738043,0.5370586068337619,1,4,2.5716857400025716E-4,9606,Homo sapiens,"","",FN1,Q9NY15,"R-HSA-2197770"
R-HSA-9662360,"Sensory processing of sound by inner hair cells of the cochlea",2,76,0,56,0.004732254047322541,0.050334503633670646,0.5370586068337619,1,7,4.5004500450045E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9659380"
R-HSA-9933947,"Formation of the non-canonical BAF (ncBAF) complex",1,17,0,6,0.0010585305105853052,0.05288068472732588,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9933236"
R-HSA-9034013,"NTF3 activates NTRK3 signaling",0,4,1,16,2.4906600249066E-4,0.05288068472732588,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"","",HLA-A,Q16288,"R-HSA-9034016"
R-HSA-9636667,"Manipulation of host energy metabolism",0,3,1,17,1.8679950186799502E-4,0.05288068472732588,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"","",GAPDH,P00558,"R-HSA-9636658"
R-HSA-437239,"Recycling pathway of L1",2,55,0,93,0.003424657534246575,0.057262798553791794,0.5370586068337619,3,14,9.000900090009E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-443779;R-HSA-445089;R-HSA-373736"
R-HSA-3000171,"Non-integrin membrane-ECM interactions",3,83,1,256,0.005168119551681195,0.05751791259979733,0.5370586068337619,5,33,0.0021216407355021216,9606,Homo sapiens,"FN1;ACTG1","P63261;P60709;P02751",FN1,P07996,"R-HSA-9913335;R-HSA-2681675;R-HSA-2396337;R-HSA-2731141;R-HSA-9914537"
R-HSA-9659379,"Sensory processing of sound",2,87,0,56,0.005417185554171856,0.05797311077959755,0.5370586068337619,2,13,8.357978655008358E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9663363;R-HSA-9659380"
R-HSA-9818027,"NFE2L2 regulating anti-oxidant/detoxification enzymes",2,40,2,111,0.0024906600249066002,0.05940298932309174,0.5370586068337619,4,28,0.0018001800180018,9606,Homo sapiens,"HMOX1","ENSG00000100292;P09601",APOE;GAPDH,P18848;P10599,"R-HSA-9761815;R-HSA-9759137;R-HSA-9796045;R-HSA-9759176"
R-HSA-2029482,"Regulation of actin dynamics for phagocytic cup formation",3,158,1,199,0.009838107098381071,0.06365798563226643,0.5370586068337619,7,24,0.001543011444001543,9606,Homo sapiens,"ARPC1B;ACTG1","P63261;P60709;O15143",ACTG1,P23528,"R-HSA-2029466;R-HSA-442592;R-HSA-1861595;R-HSA-399950;R-HSA-2029476;R-HSA-2197690;R-HSA-2029473"
R-HSA-76005,"Response to elevated platelet cytosolic Ca2+",3,149,1,195,0.009277708592777085,0.06501204872792388,0.5370586068337619,3,14,9.000900090009E-4,9606,Homo sapiens,"CFD;FN1;TAGLN2","P00746;P37802;P02751",VIM,P11021,"R-HSA-482772;R-HSA-481007;R-HSA-351323"
R-HSA-9609523,"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane",1,25,0,0,0.001556662515566625,0.06566444402117655,0.5370586068337619,5,7,4.5004500450045E-4,9606,Homo sapiens,"HMOX1","",,,"R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9609899;R-HSA-9609917"
R-HSA-166187,"Mitochondrial Uncoupling",1,20,0,5,0.0012453300124533001,0.06566444402117655,0.5370586068337619,3,10,6.429214350006429E-4,9606,Homo sapiens,"UCP2","",,,"R-HSA-166387;R-HSA-166214;R-HSA-166220"
R-HSA-8951671,"RUNX3 regulates YAP1-mediated transcription",0,9,1,17,5.60398505603985E-4,0.06820072324355797,0.5370586068337619,1,3,1.9287643050019287E-4,9606,Homo sapiens,"","",FN1,P29279,"R-HSA-1989766"
R-HSA-8941332,"RUNX2 regulates genes involved in cell migration",0,14,1,12,8.717310087173101E-4,0.06820072324355797,0.5370586068337619,1,7,4.5004500450045E-4,9606,Homo sapiens,"","",FN1,P08648,"R-HSA-8939667"
R-HSA-9013418,"RHOBTB2 GTPase cycle",1,24,0,5,0.0014943960149439602,0.07325295260465858,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-9018787"
R-HSA-166663,"Initial triggering of complement",2,120,0,45,0.007471980074719801,0.07434507779263211,0.5370586068337619,6,21,0.0013501350135013501,9606,Homo sapiens,"CFD;C1QC","",,,"R-HSA-183122;R-HSA-166753;R-HSA-173745;R-HSA-173626;R-HSA-166792;R-HSA-173631"
R-HSA-909733,"Interferon alpha/beta signaling",4,129,1,485,0.008032378580323785,0.07564742863062546,0.5370586068337619,5,25,0.0016073035875016073,9606,Homo sapiens,"HLA-B;HLA-A","ENSG00000206503;P04439;P01889;ENSG00000234745",CD74,Q14974,"R-HSA-909721;R-HSA-913529;R-HSA-9710963;R-HSA-1015702;R-HSA-1015699"
R-HSA-389957,"Prefoldin mediated transfer of substrate  to CCT/TriC",1,29,0,0,0.0018057285180572852,0.07576893842235077,0.5370586068337619,2,2,1.2858428700012858E-4,9606,Homo sapiens,"ACTG1","",,,"R-HSA-389970;R-HSA-389980"
R-HSA-173736,"Alternative complement activation",1,6,0,23,3.7359900373599005E-4,0.07576893842235077,0.5370586068337619,2,9,5.786292915005787E-4,9606,Homo sapiens,"CFD","",,,"R-HSA-183122;R-HSA-173745"
R-HSA-164940,"Nef mediated downregulation of MHC class I complex cell surface expression",1,11,0,20,6.849315068493151E-4,0.08078074118278222,0.5370586068337619,4,4,2.5716857400025716E-4,9606,Homo sapiens,"HLA-A","",,,"R-HSA-182243;R-HSA-182279;R-HSA-182263;R-HSA-182286"
R-HSA-388841,"Regulation of T cell activation by CD28 family",3,92,2,296,0.00572851805728518,0.08177287008130352,0.5370586068337619,2,35,0.0022502250225022503,9606,Homo sapiens,"HLA-DRB5;HLA-DQA1;HLA-DQB1","P01920;P01909;Q30154",GAPDH;FN1,P06241,"R-HSA-389758;R-HSA-389354"
R-HSA-190828,"Gap junction trafficking",2,52,0,133,0.0032378580323785804,0.08544294802058172,0.5370586068337619,4,20,0.0012858428700012858,9606,Homo sapiens,"ACTG1","",,,"R-HSA-196017;R-HSA-190519;R-HSA-196026;R-HSA-190829"
R-HSA-6783783,"Interleukin-10 signaling",2,86,0,98,0.005354919053549191,0.08625407687893982,0.5370586068337619,1,15,9.643821525009644E-4,9606,Homo sapiens,"CCL5","",,,"R-HSA-6784160"
R-HSA-2029485,"Role of phospholipids in phagocytosis",2,129,0,65,0.008032378580323785,0.09616631346307791,0.5370586068337619,1,12,7.715057220007715E-4,9606,Homo sapiens,"PLD3","",,,"R-HSA-2029471"
R-HSA-1663150,"The activation of arylsulfatases",0,18,1,25,0.00112079701120797,0.09811212905693156,0.5370586068337619,1,2,1.2858428700012858E-4,9606,Homo sapiens,"","",CTSD,Q8NBJ7,"R-HSA-1614336"
R-HSA-8866654,"E3 ubiquitin ligases ubiquitinate target proteins",2,60,0,146,0.0037359900373599006,0.09869378062725054,0.5370586068337619,2,16,0.0010286742960010286,9606,Homo sapiens,"HLA-B;HLA-A","",,,"R-HSA-8943080;R-HSA-8943083"
R-HSA-157858,"Gap junction trafficking and regulation",2,57,0,149,0.0035491905354919054,0.10038924348031886,0.5370586068337619,4,24,0.001543011444001543,9606,Homo sapiens,"ACTG1","",,,"R-HSA-196017;R-HSA-190519;R-HSA-196026;R-HSA-190829"
